Country,city_name,stat_date(周),Daily Orders,Daily Orders WoW
MX,Poza Rica de Hidalgo,2024-09-09 / 2024-09-15,16,43.59%
MX,Las Choapas,2024-09-09 / 2024-09-15,7,-26.56%
MX,Acapulco,2024-09-09 / 2024-09-15,41,6.67%
MX,Chilpancingo de los Bravo,2024-09-09 / 2024-09-15,-,-
MX,Tehuacan,2024-09-09 / 2024-09-15,49,-9.71%
MX,Coatzacoalcos,2024-09-09 / 2024-09-15,46,15.00%
MX,Uruapan,2024-09-09 / 2024-09-15,0,-
MX,Zamora,2024-09-09 / 2024-09-15,-,-
MX,Solidaridad,2024-09-09 / 2024-09-15,57,14.33%
MX,Villahermosa,2024-09-09 / 2024-09-15,1512,11.99%
MX,Carmen,2024-09-09 / 2024-09-15,8,10.00%
MX,Tuxtla Gutierrez,2024-09-09 / 2024-09-15,241,-1.46%
MX,Chetumal,2024-09-09 / 2024-09-15,9,36.36%
MX,Cancun,2024-09-09 / 2024-09-15,1226,1.70%
MX,Tapachula,2024-09-09 / 2024-09-15,19,-17.61%
MX,Oaxaca,2024-09-09 / 2024-09-15,896,3.07%
MX,Cuernavaca,2024-09-09 / 2024-09-15,937,1.82%
MX,Tlaxcala,2024-09-09 / 2024-09-15,67,11.14%
MX,Campeche,2024-09-09 / 2024-09-15,32,7.58%
MX,Pachuca,2024-09-09 / 2024-09-15,204,-6.05%
MX,Morelia,2024-09-09 / 2024-09-15,896,-3.30%
MX,Xalapa,2024-09-09 / 2024-09-15,54,-3.54%
MX,Comitan de Dominguez,2024-09-09 / 2024-09-15,0,-
MX,San Cristobal de las Casas,2024-09-09 / 2024-09-15,21,-6.41%
MX,Cordoba,2024-09-09 / 2024-09-15,96,1.20%
MX,Veracruz,2024-09-09 / 2024-09-15,434,0.76%
MX,Merida,2024-09-09 / 2024-09-15,776,11.93%
MX,Puebla,2024-09-09 / 2024-09-15,1982,-3.17%
MX,Los Cabos,2024-09-09 / 2024-09-15,136,-23.23%
MX,Manzanillo,2024-09-09 / 2024-09-15,122,0.71%
MX,Colima,2024-09-09 / 2024-09-15,119,18.25%
MX,La Paz,2024-09-09 / 2024-09-15,111,-14.19%
MX,Puerto Vallarta,2024-09-09 / 2024-09-15,106,5.98%
MX,Nogales(SON),2024-09-09 / 2024-09-15,0,-
MX,Ensenada,2024-09-09 / 2024-09-15,634,-1.57%
MX,Guaymas,2024-09-09 / 2024-09-15,0,-
MX,Navojoa,2024-09-09 / 2024-09-15,23,-10.44%
MX,Ciudad Obregon,2024-09-09 / 2024-09-15,548,-2.56%
MX,Tepic,2024-09-09 / 2024-09-15,598,2.02%
MX,Mazatlan,2024-09-09 / 2024-09-15,572,10.33%
MX,Culiacan,2024-09-09 / 2024-09-15,1248,-42.03%
MX,Tijuana,2024-09-09 / 2024-09-15,1888,-5.49%
MX,Mexicali,2024-09-09 / 2024-09-15,3541,-3.75%
MX,Hermosillo,2024-09-09 / 2024-09-15,1171,-2.22%
MX,Los Mochis-Guasave,2024-09-09 / 2024-09-15,295,-19.27%
MX,Guadalajara,2024-09-09 / 2024-09-15,7717,2.02%
MX,Delicias,2024-09-09 / 2024-09-15,38,4.72%
MX,San Miguel de Allende,2024-09-09 / 2024-09-15,0,-
MX,Irapuato,2024-09-09 / 2024-09-15,132,-10.15%
MX,Valles City,2024-09-09 / 2024-09-15,-,-
MX,Salamanca,2024-09-09 / 2024-09-15,31,11.11%
MX,Celaya,2024-09-09 / 2024-09-15,210,-9.59%
MX,Reynosa,2024-09-09 / 2024-09-15,0,-
MX,Piedras Negras,2024-09-09 / 2024-09-15,-,-
MX,Matamoros,2024-09-09 / 2024-09-15,280,-11.07%
MX,Nuevo Laredo,2024-09-09 / 2024-09-15,59,-5.71%
MX,Monclova,2024-09-09 / 2024-09-15,0,-
MX,Torreon,2024-09-09 / 2024-09-15,804,5.73%
MX,Durango,2024-09-09 / 2024-09-15,1377,2.99%
MX,Chihuahua,2024-09-09 / 2024-09-15,2662,1.96%
MX,San Juan del Río,2024-09-09 / 2024-09-15,102,-3.77%
MX,Victoria,2024-09-09 / 2024-09-15,181,4.71%
MX,Jaurez CHIH,2024-09-09 / 2024-09-15,3307,3.92%
MX,Saltillo,2024-09-09 / 2024-09-15,648,7.61%
MX,Monterrey,2024-09-09 / 2024-09-15,6566,5.33%
MX,Aguascalientes,2024-09-09 / 2024-09-15,549,3.00%
MX,Zacatecas,2024-09-09 / 2024-09-15,188,7.53%
MX,Tampico,2024-09-09 / 2024-09-15,779,2.95%
MX,Leon,2024-09-09 / 2024-09-15,727,-6.04%
MX,San Luis Potosi,2024-09-09 / 2024-09-15,576,-2.51%
MX,Queretaro,2024-09-09 / 2024-09-15,1192,-5.37%
MX,Mexico City,2024-09-09 / 2024-09-15,11940,0.12%
MX,Toluca,2024-09-09 / 2024-09-15,894,-4.53%
CO,Valledupar,2024-09-09 / 2024-09-15,0,-
CO,Santa marta,2024-09-09 / 2024-09-15,-,-
CO,Villavicencio,2024-09-09 / 2024-09-15,0,-
CO,Cúcuta,2024-09-09 / 2024-09-15,4,3.57%
CO,Barranquilla,2024-09-09 / 2024-09-15,853,-0.48%
CO,Ibagué,2024-09-09 / 2024-09-15,0,-
CO,Cartagena,2024-09-09 / 2024-09-15,87,-5.00%
CO,Medellín,2024-09-09 / 2024-09-15,4849,-1.93%
CO,Bucaramanga,2024-09-09 / 2024-09-15,343,-8.85%
CO,Manizales,2024-09-09 / 2024-09-15,0,-
CO,Cali,2024-09-09 / 2024-09-15,1368,1.71%
CO,"Bogotá, D.C.",2024-09-09 / 2024-09-15,6825,-8.43%
CO,Pereira,2024-09-09 / 2024-09-15,0,-
CR,Liberia,2024-09-09 / 2024-09-15,-,-
CR,Limon,2024-09-09 / 2024-09-15,-,-
CR,San Jose,2024-09-09 / 2024-09-15,2206,20.52%
PE,Arequipa,2024-09-09 / 2024-09-15,-,-
PE,Trujillo,2024-09-09 / 2024-09-15,-,-
PE,Lima,2024-09-09 / 2024-09-15,1539,3.42%
MX,Poza Rica de Hidalgo,2024-09-02 / 2024-09-08,11,-49.68%
MX,Las Choapas,2024-09-02 / 2024-09-08,9,52.38%
MX,Acapulco,2024-09-02 / 2024-09-08,39,-6.57%
MX,Chilpancingo de los Bravo,2024-09-02 / 2024-09-08,-,-
MX,Tehuacan,2024-09-02 / 2024-09-08,54,36.56%
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,40,12.90%
MX,Uruapan,2024-09-02 / 2024-09-08,0,-
MX,Zamora,2024-09-02 / 2024-09-08,-,-
MX,Solidaridad,2024-09-02 / 2024-09-08,50,-10.97%
MX,Villahermosa,2024-09-02 / 2024-09-08,1350,-6.60%
MX,Carmen,2024-09-02 / 2024-09-08,7,-23.08%
MX,Chetumal,2024-09-02 / 2024-09-08,6,-15.38%
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,245,15.27%
MX,Cancun,2024-09-02 / 2024-09-08,1205,0.15%
MX,Tapachula,2024-09-02 / 2024-09-08,23,0.00%
MX,Oaxaca,2024-09-02 / 2024-09-08,869,-2.48%
MX,Cuernavaca,2024-09-02 / 2024-09-08,920,-3.09%
MX,Campeche,2024-09-02 / 2024-09-08,30,6.03%
MX,Tlaxcala,2024-09-02 / 2024-09-08,60,4.46%
MX,Morelia,2024-09-02 / 2024-09-08,926,2.19%
MX,Pachuca,2024-09-02 / 2024-09-08,217,5.26%
MX,Cordoba,2024-09-02 / 2024-09-08,95,4.06%
MX,Xalapa,2024-09-02 / 2024-09-08,56,-2.47%
MX,Comitan de Dominguez,2024-09-02 / 2024-09-08,0,-
MX,San Cristobal de las Casas,2024-09-02 / 2024-09-08,22,4.70%
MX,Veracruz,2024-09-02 / 2024-09-08,431,2.66%
MX,Merida,2024-09-02 / 2024-09-08,693,3.30%
MX,Puebla,2024-09-02 / 2024-09-08,2047,1.48%
MX,Los Cabos,2024-09-02 / 2024-09-08,178,1.47%
MX,Colima,2024-09-02 / 2024-09-08,101,-9.01%
MX,Manzanillo,2024-09-02 / 2024-09-08,121,3.80%
MX,La Paz,2024-09-02 / 2024-09-08,130,-7.53%
MX,Puerto Vallarta,2024-09-02 / 2024-09-08,100,-11.48%
MX,Nogales(SON),2024-09-02 / 2024-09-08,0,-
MX,Ensenada,2024-09-02 / 2024-09-08,644,1.67%
MX,Navojoa,2024-09-02 / 2024-09-08,26,2.25%
MX,Guaymas,2024-09-02 / 2024-09-08,0,-
MX,Ciudad Obregon,2024-09-02 / 2024-09-08,563,-2.16%
MX,Tepic,2024-09-02 / 2024-09-08,586,3.24%
MX,Mazatlan,2024-09-02 / 2024-09-08,519,-6.51%
MX,Culiacan,2024-09-02 / 2024-09-08,2153,-1.64%
MX,Tijuana,2024-09-02 / 2024-09-08,1997,5.82%
MX,Mexicali,2024-09-02 / 2024-09-08,3679,4.06%
MX,Hermosillo,2024-09-02 / 2024-09-08,1198,5.19%
MX,Los Mochis-Guasave,2024-09-02 / 2024-09-08,365,3.02%
MX,Guadalajara,2024-09-02 / 2024-09-08,7564,4.28%
MX,Delicias,2024-09-02 / 2024-09-08,36,-20.63%
MX,San Miguel de Allende,2024-09-02 / 2024-09-08,0,-
MX,Irapuato,2024-09-02 / 2024-09-08,146,8.12%
MX,Valles City,2024-09-02 / 2024-09-08,-,-
MX,Salamanca,2024-09-02 / 2024-09-08,28,1.54%
MX,Celaya,2024-09-02 / 2024-09-08,232,-3.27%
MX,Reynosa,2024-09-02 / 2024-09-08,0,-
MX,Nuevo Laredo,2024-09-02 / 2024-09-08,63,-2.67%
MX,Matamoros,2024-09-02 / 2024-09-08,315,2.13%
MX,Piedras Negras,2024-09-02 / 2024-09-08,-,-
MX,Torreon,2024-09-02 / 2024-09-08,760,-7.72%
MX,Monclova,2024-09-02 / 2024-09-08,0,-
MX,Durango,2024-09-02 / 2024-09-08,1337,-2.01%
MX,Chihuahua,2024-09-02 / 2024-09-08,2611,3.78%
MX,San Juan del Río,2024-09-02 / 2024-09-08,106,7.06%
MX,Jaurez CHIH,2024-09-02 / 2024-09-08,3182,-0.22%
MX,Victoria,2024-09-02 / 2024-09-08,173,-4.12%
MX,Saltillo,2024-09-02 / 2024-09-08,602,-10.47%
MX,Monterrey,2024-09-02 / 2024-09-08,6234,-5.63%
MX,Aguascalientes,2024-09-02 / 2024-09-08,533,3.32%
MX,Zacatecas,2024-09-02 / 2024-09-08,175,8.91%
MX,Tampico,2024-09-02 / 2024-09-08,757,0.13%
MX,Leon,2024-09-02 / 2024-09-08,774,8.13%
MX,San Luis Potosi,2024-09-02 / 2024-09-08,591,-5.44%
MX,Queretaro,2024-09-02 / 2024-09-08,1259,3.45%
MX,Mexico City,2024-09-02 / 2024-09-08,11925,2.09%
MX,Toluca,2024-09-02 / 2024-09-08,936,-1.87%
CO,Valledupar,2024-09-02 / 2024-09-08,0,-
CO,Santa marta,2024-09-02 / 2024-09-08,-,-
CO,Villavicencio,2024-09-02 / 2024-09-08,0,-
CO,Cúcuta,2024-09-02 / 2024-09-08,4,27.27%
CO,Barranquilla,2024-09-02 / 2024-09-08,857,-0.63%
CO,Manizales,2024-09-02 / 2024-09-08,0,-
CO,Cartagena,2024-09-02 / 2024-09-08,91,-9.09%
CO,Ibagué,2024-09-02 / 2024-09-08,0,-
CO,Bucaramanga,2024-09-02 / 2024-09-08,376,9.48%
CO,Medellín,2024-09-02 / 2024-09-08,4945,3.94%
CO,Cali,2024-09-02 / 2024-09-08,1345,5.09%
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,7454,3.87%
CO,Pereira,2024-09-02 / 2024-09-08,0,-
CR,Liberia,2024-09-02 / 2024-09-08,-,-
CR,Limon,2024-09-02 / 2024-09-08,-,-
CR,San Jose,2024-09-02 / 2024-09-08,1830,-11.64%
PE,Arequipa,2024-09-02 / 2024-09-08,-,-
PE,Trujillo,2024-09-02 / 2024-09-08,-,-
PE,Lima,2024-09-02 / 2024-09-08,1488,-2.60%
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,22,-12.43%
MX,Las Choapas,2024-08-26 / 2024-09-01,6,-16.00%
MX,Acapulco,2024-08-26 / 2024-09-01,41,-7.67%
MX,Chilpancingo de los Bravo,2024-08-26 / 2024-09-01,-,-
MX,Tehuacan,2024-08-26 / 2024-09-01,40,3.33%
MX,Uruapan,2024-08-26 / 2024-09-01,0,-
MX,Coatzacoalcos,2024-08-26 / 2024-09-01,35,-18.42%
MX,Zamora,2024-08-26 / 2024-09-01,-,-
MX,Solidaridad,2024-08-26 / 2024-09-01,56,4.26%
MX,Villahermosa,2024-08-26 / 2024-09-01,1445,1.27%
MX,Chetumal,2024-08-26 / 2024-09-01,7,52.94%
MX,Tuxtla Gutierrez,2024-08-26 / 2024-09-01,212,-5.41%
MX,Carmen,2024-08-26 / 2024-09-01,9,12.07%
MX,Cancun,2024-08-26 / 2024-09-01,1203,-3.47%
MX,Tapachula,2024-08-26 / 2024-09-01,23,-10.17%
MX,Oaxaca,2024-08-26 / 2024-09-01,892,-2.95%
MX,Cuernavaca,2024-08-26 / 2024-09-01,949,-1.44%
MX,Tlaxcala,2024-08-26 / 2024-09-01,58,2.28%
MX,Campeche,2024-08-26 / 2024-09-01,28,11.80%
MX,Morelia,2024-08-26 / 2024-09-01,907,-0.05%
MX,Pachuca,2024-08-26 / 2024-09-01,206,-7.38%
MX,Xalapa,2024-08-26 / 2024-09-01,58,16.05%
MX,Comitan de Dominguez,2024-08-26 / 2024-09-01,0,-
MX,San Cristobal de las Casas,2024-08-26 / 2024-09-01,21,-4.49%
MX,Cordoba,2024-08-26 / 2024-09-01,92,7.55%
MX,Veracruz,2024-08-26 / 2024-09-01,420,-2.75%
MX,Merida,2024-08-26 / 2024-09-01,671,-4.71%
MX,Puebla,2024-08-26 / 2024-09-01,2017,-0.67%
MX,Los Cabos,2024-08-26 / 2024-09-01,175,-1.84%
MX,Colima,2024-08-26 / 2024-09-01,111,-5.36%
MX,Manzanillo,2024-08-26 / 2024-09-01,116,-7.28%
MX,La Paz,2024-08-26 / 2024-09-01,140,8.26%
MX,Puerto Vallarta,2024-08-26 / 2024-09-01,113,-10.09%
MX,Nogales(SON),2024-08-26 / 2024-09-01,0,-
MX,Ensenada,2024-08-26 / 2024-09-01,633,-4.44%
MX,Navojoa,2024-08-26 / 2024-09-01,25,11.25%
MX,Guaymas,2024-08-26 / 2024-09-01,0,-
MX,Ciudad Obregon,2024-08-26 / 2024-09-01,575,-5.09%
MX,Tepic,2024-08-26 / 2024-09-01,568,-7.34%
MX,Mazatlan,2024-08-26 / 2024-09-01,555,2.94%
MX,Culiacan,2024-08-26 / 2024-09-01,2189,0.80%
MX,Tijuana,2024-08-26 / 2024-09-01,1888,-4.53%
MX,Mexicali,2024-08-26 / 2024-09-01,3536,-0.48%
MX,Los Mochis-Guasave,2024-08-26 / 2024-09-01,355,-10.84%
MX,Hermosillo,2024-08-26 / 2024-09-01,1139,-2.35%
MX,Guadalajara,2024-08-26 / 2024-09-01,7253,-2.32%
MX,Delicias,2024-08-26 / 2024-09-01,46,3.56%
MX,San Miguel de Allende,2024-08-26 / 2024-09-01,0,-
MX,Irapuato,2024-08-26 / 2024-09-01,135,12.86%
MX,Valles City,2024-08-26 / 2024-09-01,-,-
MX,Salamanca,2024-08-26 / 2024-09-01,28,-14.10%
MX,Celaya,2024-08-26 / 2024-09-01,240,-1.52%
MX,Reynosa,2024-08-26 / 2024-09-01,0,-
MX,Nuevo Laredo,2024-08-26 / 2024-09-01,64,-0.44%
MX,Matamoros,2024-08-26 / 2024-09-01,308,-3.88%
MX,Piedras Negras,2024-08-26 / 2024-09-01,-,-
MX,Monclova,2024-08-26 / 2024-09-01,0,-
MX,Torreon,2024-08-26 / 2024-09-01,824,-2.27%
MX,Durango,2024-08-26 / 2024-09-01,1365,0.56%
MX,Chihuahua,2024-08-26 / 2024-09-01,2515,-8.72%
MX,San Juan del Río,2024-08-26 / 2024-09-01,99,4.99%
MX,Jaurez CHIH,2024-08-26 / 2024-09-01,3189,-7.23%
MX,Victoria,2024-08-26 / 2024-09-01,180,9.83%
MX,Saltillo,2024-08-26 / 2024-09-01,673,-4.02%
MX,Monterrey,2024-08-26 / 2024-09-01,6606,-6.50%
MX,Aguascalientes,2024-08-26 / 2024-09-01,516,-5.64%
MX,Zacatecas,2024-08-26 / 2024-09-01,160,-7.96%
MX,Tampico,2024-08-26 / 2024-09-01,756,6.91%
MX,Leon,2024-08-26 / 2024-09-01,716,-7.33%
MX,San Luis Potosi,2024-08-26 / 2024-09-01,625,-7.66%
MX,Queretaro,2024-08-26 / 2024-09-01,1217,-6.41%
MX,Mexico City,2024-08-26 / 2024-09-01,11681,-3.30%
MX,Toluca,2024-08-26 / 2024-09-01,954,-3.37%
CO,Valledupar,2024-08-26 / 2024-09-01,0,-
CO,Santa marta,2024-08-26 / 2024-09-01,-,-
CO,Villavicencio,2024-08-26 / 2024-09-01,0,-
CO,Cúcuta,2024-08-26 / 2024-09-01,3,-8.33%
CO,Barranquilla,2024-08-26 / 2024-09-01,862,4.59%
CO,Manizales,2024-08-26 / 2024-09-01,0,-
CO,Cartagena,2024-08-26 / 2024-09-01,101,14.10%
CO,Ibagué,2024-08-26 / 2024-09-01,0,-
CO,Bucaramanga,2024-08-26 / 2024-09-01,344,-15.61%
CO,Medellín,2024-08-26 / 2024-09-01,4758,-4.05%
CO,Cali,2024-08-26 / 2024-09-01,1280,-7.41%
CO,"Bogotá, D.C.",2024-08-26 / 2024-09-01,7176,-3.85%
CO,Pereira,2024-08-26 / 2024-09-01,0,-
CR,Liberia,2024-08-26 / 2024-09-01,-,-
CR,Limon,2024-08-26 / 2024-09-01,-,-
CR,San Jose,2024-08-26 / 2024-09-01,2071,9.46%
PE,Arequipa,2024-08-26 / 2024-09-01,-,-
PE,Trujillo,2024-08-26 / 2024-09-01,-,-
PE,Lima,2024-08-26 / 2024-09-01,1528,13.61%
