Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Chetumal,CKA,2024-12-02 / 2024-12-08,1.0
MX,Poza Rica de Hidalgo,CKA,2024-12-02 / 2024-12-08,1.0
MX,Tehuacan,CKA,2024-12-02 / 2024-12-08,3.0
MX,Los Cabos,CKA,2024-12-02 / 2024-12-08,10.0
MX,Irapuato,CKA,2024-12-02 / 2024-12-08,6.0
MX,Ensenada,CKA,2024-12-02 / 2024-12-08,37.0
MX,Carmen,CKA,2024-12-02 / 2024-12-08,1.0
MX,Los Mochis-Guasave,CKA,2024-12-02 / 2024-12-08,20.0
MX,Monterrey,CKA,2024-12-02 / 2024-12-08,331.0
MX,Navojoa,CKA,2024-12-02 / 2024-12-08,3.0
MX,Coatzacoalcos,CKA,2024-12-02 / 2024-12-08,6.0
MX,Tampico,CKA,2024-12-02 / 2024-12-08,37.0
MX,Xalapa,CKA,2024-12-02 / 2024-12-08,2.0
MX,Acapulco,CKA,2024-12-02 / 2024-12-08,3.0
MX,Tijuana,CKA,2024-12-02 / 2024-12-08,123.0
MX,Queretaro,CKA,2024-12-02 / 2024-12-08,79.0
MX,Saltillo,CKA,2024-12-02 / 2024-12-08,42.0
MX,Chihuahua,CKA,2024-12-02 / 2024-12-08,156.0
MX,San Cristobal de las Casas,CKA,2024-12-02 / 2024-12-08,2.0
MX,Cuernavaca,CKA,2024-12-02 / 2024-12-08,62.0
MX,Hermosillo,CKA,2024-12-02 / 2024-12-08,78.0
MX,Tlaxcala,CKA,2024-12-02 / 2024-12-08,2.0
MX,Manzanillo,CKA,2024-12-02 / 2024-12-08,9.0
MX,La Paz,CKA,2024-12-02 / 2024-12-08,10.0
MX,Merida,CKA,2024-12-02 / 2024-12-08,48.0
MX,Aguascalientes,CKA,2024-12-02 / 2024-12-08,36.0
MX,Pachuca,CKA,2024-12-02 / 2024-12-08,16.0
MX,Celaya,CKA,2024-12-02 / 2024-12-08,11.0
MX,Tuxtla Gutierrez,CKA,2024-12-02 / 2024-12-08,14.0
MX,Zacatecas,CKA,2024-12-02 / 2024-12-08,9.0
MX,Puerto Vallarta,CKA,2024-12-02 / 2024-12-08,7.0
MX,Mexico City,CKA,2024-12-02 / 2024-12-08,774.0
MX,Villahermosa,CKA,2024-12-02 / 2024-12-08,61.0
MX,Culiacan,CKA,2024-12-02 / 2024-12-08,125.0
MX,Ciudad Obregon,CKA,2024-12-02 / 2024-12-08,40.0
MX,Tepic,CKA,2024-12-02 / 2024-12-08,35.0
MX,Durango,CKA,2024-12-02 / 2024-12-08,88.0
MX,Colima,CKA,2024-12-02 / 2024-12-08,10.0
MX,Puebla,CKA,2024-12-02 / 2024-12-08,140.0
MX,Solidaridad,CKA,2024-12-02 / 2024-12-08,2.0
MX,Oaxaca,CKA,2024-12-02 / 2024-12-08,51.0
MX,Cancun,CKA,2024-12-02 / 2024-12-08,52.0
MX,Nuevo Laredo,CKA,2024-12-02 / 2024-12-08,3.0
MX,Cordoba,CKA,2024-12-02 / 2024-12-08,11.0
MX,Toluca,CKA,2024-12-02 / 2024-12-08,54.0
MX,Mazatlan,CKA,2024-12-02 / 2024-12-08,28.0
MX,Delicias,CKA,2024-12-02 / 2024-12-08,3.0
MX,Guadalajara,CKA,2024-12-02 / 2024-12-08,476.0
MX,Salamanca,CKA,2024-12-02 / 2024-12-08,2.0
MX,Mexicali,CKA,2024-12-02 / 2024-12-08,162.0
MX,Victoria,CKA,2024-12-02 / 2024-12-08,13.0
MX,San Luis Potosi,CKA,2024-12-02 / 2024-12-08,37.0
MX,Morelia,CKA,2024-12-02 / 2024-12-08,45.0
MX,Torreon,CKA,2024-12-02 / 2024-12-08,49.0
MX,Veracruz,CKA,2024-12-02 / 2024-12-08,22.0
MX,Matamoros,CKA,2024-12-02 / 2024-12-08,17.0
MX,Leon,CKA,2024-12-02 / 2024-12-08,38.0
MX,Jaurez CHIH,CKA,2024-12-02 / 2024-12-08,168.0
MX,Las Choapas,CKA,2024-12-02 / 2024-12-08,1.0
MX,San Juan del Río,CKA,2024-12-02 / 2024-12-08,11.0
MX,Tijuana,SME,2024-12-02 / 2024-12-08,197.0
MX,Tlaxcala,SME,2024-12-02 / 2024-12-08,32.0
MX,Carmen,SME,2024-12-02 / 2024-12-08,13.0
MX,Manzanillo,SME,2024-12-02 / 2024-12-08,35.0
MX,Leon,SME,2024-12-02 / 2024-12-08,115.0
MX,Cuernavaca,SME,2024-12-02 / 2024-12-08,124.0
MX,Toluca,SME,2024-12-02 / 2024-12-08,120.0
MX,Tehuacan,SME,2024-12-02 / 2024-12-08,15.0
MX,San Luis Potosi,SME,2024-12-02 / 2024-12-08,141.0
MX,Mexicali,SME,2024-12-02 / 2024-12-08,262.0
MX,Mexico City,SME,2024-12-02 / 2024-12-08,1403.0
MX,Ciudad Obregon,SME,2024-12-02 / 2024-12-08,75.0
MX,Poza Rica de Hidalgo,SME,2024-12-02 / 2024-12-08,10.0
MX,Tapachula,SME,2024-12-02 / 2024-12-08,19.0
MX,Las Choapas,SME,2024-12-02 / 2024-12-08,4.0
MX,Monterrey,SME,2024-12-02 / 2024-12-08,507.0
MX,Puerto Vallarta,SME,2024-12-02 / 2024-12-08,44.0
MX,Ensenada,SME,2024-12-02 / 2024-12-08,147.0
MX,San Juan del Río,SME,2024-12-02 / 2024-12-08,35.0
MX,Victoria,SME,2024-12-02 / 2024-12-08,46.0
MX,Acapulco,SME,2024-12-02 / 2024-12-08,22.0
MX,Jaurez CHIH,SME,2024-12-02 / 2024-12-08,267.0
MX,Queretaro,SME,2024-12-02 / 2024-12-08,145.0
MX,Irapuato,SME,2024-12-02 / 2024-12-08,37.0
MX,Chetumal,SME,2024-12-02 / 2024-12-08,13.0
MX,Veracruz,SME,2024-12-02 / 2024-12-08,71.0
MX,Puebla,SME,2024-12-02 / 2024-12-08,213.0
MX,Merida,SME,2024-12-02 / 2024-12-08,92.0
MX,Zacatecas,SME,2024-12-02 / 2024-12-08,36.0
MX,Tampico,SME,2024-12-02 / 2024-12-08,80.0
MX,Xalapa,SME,2024-12-02 / 2024-12-08,20.0
MX,San Cristobal de las Casas,SME,2024-12-02 / 2024-12-08,15.0
MX,Coatzacoalcos,SME,2024-12-02 / 2024-12-08,17.0
MX,Matamoros,SME,2024-12-02 / 2024-12-08,80.0
MX,Mazatlan,SME,2024-12-02 / 2024-12-08,63.0
MX,Culiacan,SME,2024-12-02 / 2024-12-08,120.0
MX,Colima,SME,2024-12-02 / 2024-12-08,72.0
MX,Los Mochis-Guasave,SME,2024-12-02 / 2024-12-08,53.0
MX,Tuxtla Gutierrez,SME,2024-12-02 / 2024-12-08,124.0
MX,Salamanca,SME,2024-12-02 / 2024-12-08,12.0
MX,Saltillo,SME,2024-12-02 / 2024-12-08,67.0
MX,Morelia,SME,2024-12-02 / 2024-12-08,136.0
MX,Nuevo Laredo,SME,2024-12-02 / 2024-12-08,41.0
MX,Durango,SME,2024-12-02 / 2024-12-08,164.0
MX,Pachuca,SME,2024-12-02 / 2024-12-08,22.0
MX,Los Cabos,SME,2024-12-02 / 2024-12-08,45.0
MX,Campeche,SME,2024-12-02 / 2024-12-08,30.0
MX,Solidaridad,SME,2024-12-02 / 2024-12-08,15.0
MX,Torreon,SME,2024-12-02 / 2024-12-08,119.0
MX,La Paz,SME,2024-12-02 / 2024-12-08,79.0
MX,Chihuahua,SME,2024-12-02 / 2024-12-08,116.0
MX,Tepic,SME,2024-12-02 / 2024-12-08,113.0
MX,Cancun,SME,2024-12-02 / 2024-12-08,121.0
MX,Aguascalientes,SME,2024-12-02 / 2024-12-08,131.0
MX,Delicias,SME,2024-12-02 / 2024-12-08,27.0
MX,Hermosillo,SME,2024-12-02 / 2024-12-08,123.0
MX,Navojoa,SME,2024-12-02 / 2024-12-08,20.0
MX,Guadalajara,SME,2024-12-02 / 2024-12-08,790.0
MX,Oaxaca,SME,2024-12-02 / 2024-12-08,107.0
MX,Celaya,SME,2024-12-02 / 2024-12-08,44.0
MX,Villahermosa,SME,2024-12-02 / 2024-12-08,100.0
MX,Cordoba,SME,2024-12-02 / 2024-12-08,29.0
CO,Barranquilla,CKA,2024-12-02 / 2024-12-08,61.0
CO,Cartagena,CKA,2024-12-02 / 2024-12-08,6.0
CO,Cali,CKA,2024-12-02 / 2024-12-08,117.0
CO,Medellín,CKA,2024-12-02 / 2024-12-08,319.0
CO,Bucaramanga,CKA,2024-12-02 / 2024-12-08,12.0
CO,"Bogotá, D.C.",CKA,2024-12-02 / 2024-12-08,468.0
CO,"Bogotá, D.C.",SME,2024-12-02 / 2024-12-08,453.0
CO,Cúcuta,SME,2024-12-02 / 2024-12-08,8.0
CO,Medellín,SME,2024-12-02 / 2024-12-08,373.0
CO,Bucaramanga,SME,2024-12-02 / 2024-12-08,34.0
CO,Barranquilla,SME,2024-12-02 / 2024-12-08,120.0
CO,Cartagena,SME,2024-12-02 / 2024-12-08,12.0
CO,Cali,SME,2024-12-02 / 2024-12-08,195.0
CR,San Jose,CKA,2024-12-02 / 2024-12-08,116.0
CR,San Jose,SME,2024-12-02 / 2024-12-08,138.0
PE,Lima,CKA,2024-12-02 / 2024-12-08,72.0
PE,Lima,SME,2024-12-02 / 2024-12-08,120.0
MX,Chetumal,CKA,2024-11-25 / 2024-12-01,1.0
MX,Poza Rica de Hidalgo,CKA,2024-11-25 / 2024-12-01,1.0
MX,Torreon,CKA,2024-11-25 / 2024-12-01,52.0
MX,San Luis Potosi,CKA,2024-11-25 / 2024-12-01,36.0
MX,Tijuana,CKA,2024-11-25 / 2024-12-01,127.0
MX,Matamoros,CKA,2024-11-25 / 2024-12-01,24.0
MX,Ensenada,CKA,2024-11-25 / 2024-12-01,35.0
MX,Mazatlan,CKA,2024-11-25 / 2024-12-01,34.0
MX,Villahermosa,CKA,2024-11-25 / 2024-12-01,61.0
MX,Morelia,CKA,2024-11-25 / 2024-12-01,46.0
MX,Coatzacoalcos,CKA,2024-11-25 / 2024-12-01,5.0
MX,Leon,CKA,2024-11-25 / 2024-12-01,39.0
MX,Veracruz,CKA,2024-11-25 / 2024-12-01,22.0
MX,Tehuacan,CKA,2024-11-25 / 2024-12-01,3.0
MX,Tampico,CKA,2024-11-25 / 2024-12-01,37.0
MX,Cancun,CKA,2024-11-25 / 2024-12-01,59.0
MX,Ciudad Obregon,CKA,2024-11-25 / 2024-12-01,37.0
MX,Colima,CKA,2024-11-25 / 2024-12-01,12.0
MX,La Paz,CKA,2024-11-25 / 2024-12-01,10.0
MX,Aguascalientes,CKA,2024-11-25 / 2024-12-01,31.0
MX,Tepic,CKA,2024-11-25 / 2024-12-01,34.0
MX,Monterrey,CKA,2024-11-25 / 2024-12-01,401.0
MX,Guadalajara,CKA,2024-11-25 / 2024-12-01,481.0
MX,Toluca,CKA,2024-11-25 / 2024-12-01,58.0
MX,Las Choapas,CKA,2024-11-25 / 2024-12-01,1.0
MX,Pachuca,CKA,2024-11-25 / 2024-12-01,16.0
MX,Salamanca,CKA,2024-11-25 / 2024-12-01,1.0
MX,Oaxaca,CKA,2024-11-25 / 2024-12-01,50.0
MX,Puerto Vallarta,CKA,2024-11-25 / 2024-12-01,6.0
MX,Mexico City,CKA,2024-11-25 / 2024-12-01,760.0
MX,Queretaro,CKA,2024-11-25 / 2024-12-01,80.0
MX,Jaurez CHIH,CKA,2024-11-25 / 2024-12-01,163.0
MX,Celaya,CKA,2024-11-25 / 2024-12-01,11.0
MX,Mexicali,CKA,2024-11-25 / 2024-12-01,151.0
MX,Puebla,CKA,2024-11-25 / 2024-12-01,140.0
MX,Los Cabos,CKA,2024-11-25 / 2024-12-01,11.0
MX,Navojoa,CKA,2024-11-25 / 2024-12-01,3.0
MX,Cuernavaca,CKA,2024-11-25 / 2024-12-01,59.0
MX,Manzanillo,CKA,2024-11-25 / 2024-12-01,9.0
MX,Solidaridad,CKA,2024-11-25 / 2024-12-01,4.0
MX,Victoria,CKA,2024-11-25 / 2024-12-01,12.0
MX,Merida,CKA,2024-11-25 / 2024-12-01,50.0
MX,Acapulco,CKA,2024-11-25 / 2024-12-01,3.0
MX,Zacatecas,CKA,2024-11-25 / 2024-12-01,11.0
MX,Saltillo,CKA,2024-11-25 / 2024-12-01,47.0
MX,Tlaxcala,CKA,2024-11-25 / 2024-12-01,3.0
MX,Cordoba,CKA,2024-11-25 / 2024-12-01,9.0
MX,Irapuato,CKA,2024-11-25 / 2024-12-01,7.0
MX,Los Mochis-Guasave,CKA,2024-11-25 / 2024-12-01,22.0
MX,San Cristobal de las Casas,CKA,2024-11-25 / 2024-12-01,2.0
MX,San Juan del Río,CKA,2024-11-25 / 2024-12-01,11.0
MX,Delicias,CKA,2024-11-25 / 2024-12-01,3.0
MX,Durango,CKA,2024-11-25 / 2024-12-01,90.0
MX,Tuxtla Gutierrez,CKA,2024-11-25 / 2024-12-01,14.0
MX,Hermosillo,CKA,2024-11-25 / 2024-12-01,71.0
MX,Chihuahua,CKA,2024-11-25 / 2024-12-01,149.0
MX,Nuevo Laredo,CKA,2024-11-25 / 2024-12-01,4.0
MX,Culiacan,CKA,2024-11-25 / 2024-12-01,126.0
MX,Tlaxcala,SME,2024-11-25 / 2024-12-01,31.0
MX,Queretaro,SME,2024-11-25 / 2024-12-01,150.0
MX,Solidaridad,SME,2024-11-25 / 2024-12-01,16.0
MX,Merida,SME,2024-11-25 / 2024-12-01,84.0
MX,Aguascalientes,SME,2024-11-25 / 2024-12-01,115.0
MX,Delicias,SME,2024-11-25 / 2024-12-01,31.0
MX,Acapulco,SME,2024-11-25 / 2024-12-01,22.0
MX,Colima,SME,2024-11-25 / 2024-12-01,70.0
MX,Cancun,SME,2024-11-25 / 2024-12-01,136.0
MX,Tehuacan,SME,2024-11-25 / 2024-12-01,14.0
MX,Oaxaca,SME,2024-11-25 / 2024-12-01,106.0
MX,Salamanca,SME,2024-11-25 / 2024-12-01,10.0
MX,Mexicali,SME,2024-11-25 / 2024-12-01,237.0
MX,Durango,SME,2024-11-25 / 2024-12-01,188.0
MX,Irapuato,SME,2024-11-25 / 2024-12-01,43.0
MX,Los Cabos,SME,2024-11-25 / 2024-12-01,44.0
MX,Mexico City,SME,2024-11-25 / 2024-12-01,1422.0
MX,Tampico,SME,2024-11-25 / 2024-12-01,85.0
MX,San Luis Potosi,SME,2024-11-25 / 2024-12-01,138.0
MX,Xalapa,SME,2024-11-25 / 2024-12-01,19.0
MX,Coatzacoalcos,SME,2024-11-25 / 2024-12-01,16.0
MX,Mazatlan,SME,2024-11-25 / 2024-12-01,61.0
MX,Morelia,SME,2024-11-25 / 2024-12-01,140.0
MX,Puebla,SME,2024-11-25 / 2024-12-01,217.0
MX,Navojoa,SME,2024-11-25 / 2024-12-01,17.0
MX,Las Choapas,SME,2024-11-25 / 2024-12-01,7.0
MX,San Cristobal de las Casas,SME,2024-11-25 / 2024-12-01,17.0
MX,San Juan del Río,SME,2024-11-25 / 2024-12-01,36.0
MX,Torreon,SME,2024-11-25 / 2024-12-01,124.0
MX,Cuernavaca,SME,2024-11-25 / 2024-12-01,124.0
MX,Pachuca,SME,2024-11-25 / 2024-12-01,20.0
MX,Celaya,SME,2024-11-25 / 2024-12-01,45.0
MX,Cordoba,SME,2024-11-25 / 2024-12-01,31.0
MX,Toluca,SME,2024-11-25 / 2024-12-01,121.0
MX,Manzanillo,SME,2024-11-25 / 2024-12-01,39.0
MX,Monterrey,SME,2024-11-25 / 2024-12-01,642.0
MX,Ensenada,SME,2024-11-25 / 2024-12-01,141.0
MX,Poza Rica de Hidalgo,SME,2024-11-25 / 2024-12-01,12.0
MX,Leon,SME,2024-11-25 / 2024-12-01,114.0
MX,Victoria,SME,2024-11-25 / 2024-12-01,46.0
MX,Los Mochis-Guasave,SME,2024-11-25 / 2024-12-01,54.0
MX,Guadalajara,SME,2024-11-25 / 2024-12-01,797.0
MX,La Paz,SME,2024-11-25 / 2024-12-01,81.0
MX,Puerto Vallarta,SME,2024-11-25 / 2024-12-01,46.0
MX,Chihuahua,SME,2024-11-25 / 2024-12-01,110.0
MX,Veracruz,SME,2024-11-25 / 2024-12-01,72.0
MX,Campeche,SME,2024-11-25 / 2024-12-01,34.0
MX,Chetumal,SME,2024-11-25 / 2024-12-01,15.0
MX,Jaurez CHIH,SME,2024-11-25 / 2024-12-01,259.0
MX,Tuxtla Gutierrez,SME,2024-11-25 / 2024-12-01,125.0
MX,Villahermosa,SME,2024-11-25 / 2024-12-01,100.0
MX,Zacatecas,SME,2024-11-25 / 2024-12-01,39.0
MX,Ciudad Obregon,SME,2024-11-25 / 2024-12-01,77.0
MX,Saltillo,SME,2024-11-25 / 2024-12-01,78.0
MX,Tepic,SME,2024-11-25 / 2024-12-01,112.0
MX,Carmen,SME,2024-11-25 / 2024-12-01,16.0
MX,Tapachula,SME,2024-11-25 / 2024-12-01,17.0
MX,Tijuana,SME,2024-11-25 / 2024-12-01,199.0
MX,Culiacan,SME,2024-11-25 / 2024-12-01,143.0
MX,Matamoros,SME,2024-11-25 / 2024-12-01,93.0
MX,Nuevo Laredo,SME,2024-11-25 / 2024-12-01,39.0
MX,Hermosillo,SME,2024-11-25 / 2024-12-01,122.0
CO,Cali,CKA,2024-11-25 / 2024-12-01,107.0
CO,Cartagena,CKA,2024-11-25 / 2024-12-01,4.0
CO,Bucaramanga,CKA,2024-11-25 / 2024-12-01,14.0
CO,Medellín,CKA,2024-11-25 / 2024-12-01,298.0
CO,Barranquilla,CKA,2024-11-25 / 2024-12-01,63.0
CO,"Bogotá, D.C.",CKA,2024-11-25 / 2024-12-01,469.0
CO,"Bogotá, D.C.",SME,2024-11-25 / 2024-12-01,444.0
CO,Cali,SME,2024-11-25 / 2024-12-01,199.0
CO,Medellín,SME,2024-11-25 / 2024-12-01,366.0
CO,Bucaramanga,SME,2024-11-25 / 2024-12-01,31.0
CO,Barranquilla,SME,2024-11-25 / 2024-12-01,117.0
CO,Cartagena,SME,2024-11-25 / 2024-12-01,10.0
CO,Cúcuta,SME,2024-11-25 / 2024-12-01,8.0
CR,San Jose,CKA,2024-11-25 / 2024-12-01,103.0
CR,San Jose,SME,2024-11-25 / 2024-12-01,125.0
PE,Lima,CKA,2024-11-25 / 2024-12-01,73.0
PE,Lima,SME,2024-11-25 / 2024-12-01,118.0
MX,Poza Rica de Hidalgo,CKA,2024-11-18 / 2024-11-24,1.0
MX,Chetumal,CKA,2024-11-18 / 2024-11-24,1.0
MX,Tampico,CKA,2024-11-18 / 2024-11-24,35.0
MX,Tepic,CKA,2024-11-18 / 2024-11-24,36.0
MX,Guadalajara,CKA,2024-11-18 / 2024-11-24,484.0
MX,Cordoba,CKA,2024-11-18 / 2024-11-24,9.0
MX,Tehuacan,CKA,2024-11-18 / 2024-11-24,2.0
MX,Torreon,CKA,2024-11-18 / 2024-11-24,52.0
MX,Colima,CKA,2024-11-18 / 2024-11-24,8.0
MX,Mexicali,CKA,2024-11-18 / 2024-11-24,151.0
MX,Navojoa,CKA,2024-11-18 / 2024-11-24,2.0
MX,Aguascalientes,CKA,2024-11-18 / 2024-11-24,33.0
MX,Los Mochis-Guasave,CKA,2024-11-18 / 2024-11-24,22.0
MX,Hermosillo,CKA,2024-11-18 / 2024-11-24,64.0
MX,Acapulco,CKA,2024-11-18 / 2024-11-24,2.0
MX,Queretaro,CKA,2024-11-18 / 2024-11-24,82.0
MX,Delicias,CKA,2024-11-18 / 2024-11-24,3.0
MX,Tlaxcala,CKA,2024-11-18 / 2024-11-24,4.0
MX,Morelia,CKA,2024-11-18 / 2024-11-24,42.0
MX,Irapuato,CKA,2024-11-18 / 2024-11-24,7.0
MX,Jaurez CHIH,CKA,2024-11-18 / 2024-11-24,162.0
MX,Solidaridad,CKA,2024-11-18 / 2024-11-24,3.0
MX,San Cristobal de las Casas,CKA,2024-11-18 / 2024-11-24,2.0
MX,Toluca,CKA,2024-11-18 / 2024-11-24,60.0
MX,Puerto Vallarta,CKA,2024-11-18 / 2024-11-24,7.0
MX,Mexico City,CKA,2024-11-18 / 2024-11-24,757.0
MX,Mazatlan,CKA,2024-11-18 / 2024-11-24,31.0
MX,Xalapa,CKA,2024-11-18 / 2024-11-24,1.0
MX,Chihuahua,CKA,2024-11-18 / 2024-11-24,146.0
MX,Los Cabos,CKA,2024-11-18 / 2024-11-24,12.0
MX,Cuernavaca,CKA,2024-11-18 / 2024-11-24,65.0
MX,Saltillo,CKA,2024-11-18 / 2024-11-24,46.0
MX,Merida,CKA,2024-11-18 / 2024-11-24,47.0
MX,Ciudad Obregon,CKA,2024-11-18 / 2024-11-24,39.0
MX,Victoria,CKA,2024-11-18 / 2024-11-24,10.0
MX,Pachuca,CKA,2024-11-18 / 2024-11-24,15.0
MX,Durango,CKA,2024-11-18 / 2024-11-24,96.0
MX,Tijuana,CKA,2024-11-18 / 2024-11-24,128.0
MX,Tuxtla Gutierrez,CKA,2024-11-18 / 2024-11-24,14.0
MX,Nuevo Laredo,CKA,2024-11-18 / 2024-11-24,4.0
MX,Coatzacoalcos,CKA,2024-11-18 / 2024-11-24,3.0
MX,Cancun,CKA,2024-11-18 / 2024-11-24,57.0
MX,Oaxaca,CKA,2024-11-18 / 2024-11-24,51.0
MX,Zacatecas,CKA,2024-11-18 / 2024-11-24,10.0
MX,San Juan del Río,CKA,2024-11-18 / 2024-11-24,12.0
MX,Manzanillo,CKA,2024-11-18 / 2024-11-24,8.0
MX,Veracruz,CKA,2024-11-18 / 2024-11-24,22.0
MX,La Paz,CKA,2024-11-18 / 2024-11-24,9.0
MX,Celaya,CKA,2024-11-18 / 2024-11-24,11.0
MX,Matamoros,CKA,2024-11-18 / 2024-11-24,23.0
MX,Culiacan,CKA,2024-11-18 / 2024-11-24,123.0
MX,Villahermosa,CKA,2024-11-18 / 2024-11-24,59.0
MX,Ensenada,CKA,2024-11-18 / 2024-11-24,38.0
MX,Leon,CKA,2024-11-18 / 2024-11-24,40.0
MX,Salamanca,CKA,2024-11-18 / 2024-11-24,2.0
MX,Puebla,CKA,2024-11-18 / 2024-11-24,140.0
MX,San Luis Potosi,CKA,2024-11-18 / 2024-11-24,35.0
MX,Monterrey,CKA,2024-11-18 / 2024-11-24,389.0
MX,Las Choapas,CKA,2024-11-18 / 2024-11-24,1.0
MX,Coatzacoalcos,SME,2024-11-18 / 2024-11-24,17.0
MX,Irapuato,SME,2024-11-18 / 2024-11-24,44.0
MX,Hermosillo,SME,2024-11-18 / 2024-11-24,120.0
MX,Tehuacan,SME,2024-11-18 / 2024-11-24,16.0
MX,Delicias,SME,2024-11-18 / 2024-11-24,29.0
MX,Zacatecas,SME,2024-11-18 / 2024-11-24,37.0
MX,Mazatlan,SME,2024-11-18 / 2024-11-24,65.0
MX,Xalapa,SME,2024-11-18 / 2024-11-24,20.0
MX,Saltillo,SME,2024-11-18 / 2024-11-24,73.0
MX,Tlaxcala,SME,2024-11-18 / 2024-11-24,32.0
MX,San Cristobal de las Casas,SME,2024-11-18 / 2024-11-24,18.0
MX,Carmen,SME,2024-11-18 / 2024-11-24,12.0
MX,Colima,SME,2024-11-18 / 2024-11-24,66.0
MX,San Luis Potosi,SME,2024-11-18 / 2024-11-24,138.0
MX,Manzanillo,SME,2024-11-18 / 2024-11-24,37.0
MX,Monterrey,SME,2024-11-18 / 2024-11-24,618.0
MX,Victoria,SME,2024-11-18 / 2024-11-24,47.0
MX,Mexico City,SME,2024-11-18 / 2024-11-24,1381.0
MX,Culiacan,SME,2024-11-18 / 2024-11-24,138.0
MX,Tapachula,SME,2024-11-18 / 2024-11-24,18.0
MX,Los Mochis-Guasave,SME,2024-11-18 / 2024-11-24,58.0
MX,Solidaridad,SME,2024-11-18 / 2024-11-24,12.0
MX,Los Cabos,SME,2024-11-18 / 2024-11-24,44.0
MX,Cuernavaca,SME,2024-11-18 / 2024-11-24,116.0
MX,Celaya,SME,2024-11-18 / 2024-11-24,45.0
MX,Puerto Vallarta,SME,2024-11-18 / 2024-11-24,46.0
MX,Puebla,SME,2024-11-18 / 2024-11-24,201.0
MX,Tijuana,SME,2024-11-18 / 2024-11-24,210.0
MX,Villahermosa,SME,2024-11-18 / 2024-11-24,96.0
MX,Mexicali,SME,2024-11-18 / 2024-11-24,237.0
MX,Salamanca,SME,2024-11-18 / 2024-11-24,15.0
MX,Guadalajara,SME,2024-11-18 / 2024-11-24,813.0
MX,Chihuahua,SME,2024-11-18 / 2024-11-24,105.0
MX,Veracruz,SME,2024-11-18 / 2024-11-24,71.0
MX,Torreon,SME,2024-11-18 / 2024-11-24,128.0
MX,Las Choapas,SME,2024-11-18 / 2024-11-24,7.0
MX,San Juan del Río,SME,2024-11-18 / 2024-11-24,34.0
MX,Acapulco,SME,2024-11-18 / 2024-11-24,20.0
MX,Navojoa,SME,2024-11-18 / 2024-11-24,21.0
MX,Campeche,SME,2024-11-18 / 2024-11-24,31.0
MX,Tepic,SME,2024-11-18 / 2024-11-24,107.0
MX,Queretaro,SME,2024-11-18 / 2024-11-24,139.0
MX,Matamoros,SME,2024-11-18 / 2024-11-24,88.0
MX,Ciudad Obregon,SME,2024-11-18 / 2024-11-24,72.0
MX,Merida,SME,2024-11-18 / 2024-11-24,83.0
MX,Poza Rica de Hidalgo,SME,2024-11-18 / 2024-11-24,9.0
MX,La Paz,SME,2024-11-18 / 2024-11-24,75.0
MX,Jaurez CHIH,SME,2024-11-18 / 2024-11-24,252.0
MX,Toluca,SME,2024-11-18 / 2024-11-24,119.0
MX,Tampico,SME,2024-11-18 / 2024-11-24,90.0
MX,Oaxaca,SME,2024-11-18 / 2024-11-24,102.0
MX,Cancun,SME,2024-11-18 / 2024-11-24,123.0
MX,Aguascalientes,SME,2024-11-18 / 2024-11-24,115.0
MX,Tuxtla Gutierrez,SME,2024-11-18 / 2024-11-24,123.0
MX,Nuevo Laredo,SME,2024-11-18 / 2024-11-24,36.0
MX,Leon,SME,2024-11-18 / 2024-11-24,111.0
MX,Morelia,SME,2024-11-18 / 2024-11-24,133.0
MX,Pachuca,SME,2024-11-18 / 2024-11-24,18.0
MX,Durango,SME,2024-11-18 / 2024-11-24,184.0
MX,Ensenada,SME,2024-11-18 / 2024-11-24,146.0
MX,Chetumal,SME,2024-11-18 / 2024-11-24,18.0
MX,Cordoba,SME,2024-11-18 / 2024-11-24,33.0
CO,Bucaramanga,CKA,2024-11-18 / 2024-11-24,14.0
CO,Barranquilla,CKA,2024-11-18 / 2024-11-24,55.0
CO,"Bogotá, D.C.",CKA,2024-11-18 / 2024-11-24,470.0
CO,Cartagena,CKA,2024-11-18 / 2024-11-24,3.0
CO,Cali,CKA,2024-11-18 / 2024-11-24,101.0
CO,Medellín,CKA,2024-11-18 / 2024-11-24,304.0
CO,Bucaramanga,SME,2024-11-18 / 2024-11-24,32.0
CO,Cartagena,SME,2024-11-18 / 2024-11-24,12.0
CO,"Bogotá, D.C.",SME,2024-11-18 / 2024-11-24,411.0
CO,Cúcuta,SME,2024-11-18 / 2024-11-24,7.0
CO,Medellín,SME,2024-11-18 / 2024-11-24,370.0
CO,Cali,SME,2024-11-18 / 2024-11-24,188.0
CO,Barranquilla,SME,2024-11-18 / 2024-11-24,113.0
CR,San Jose,CKA,2024-11-18 / 2024-11-24,95.0
CR,San Jose,SME,2024-11-18 / 2024-11-24,117.0
PE,Lima,CKA,2024-11-18 / 2024-11-24,74.0
PE,Lima,SME,2024-11-18 / 2024-11-24,110.0
